Price,Net_Area_(m²),Gross_Area_(m²),Room_Count,Bathroom_Count,Area_ratio,NetArea_per_Room,Area_Loss,Is_Studio,Living_Room_Count,Total_Rooms,County_Arnavutköy,County_Ataşehir,County_Avcılar,County_Bahçelievler,County_Bakırköy,County_Bağcılar,County_Başakşehir,County_Beykoz,County_Beylikdüzü,County_Beyoğlu,County_Beşiktaş,County_Büyükçekmece,County_Esenler,County_Esenyurt,County_Eyüpsultan,County_Fatih,County_Gaziosmanpaşa,County_Güngören,County_Kadıköy,County_Kartal,County_Kağıthane,County_Küçükçekmece,County_Maltepe,County_Pendik,County_Sancaktepe,County_Sarıyer,County_Sultanbeyli,County_Sultangazi,County_Tuzla,County_Zeytinburnu,County_Çekmeköy,County_Ümraniye,County_Üsküdar,County_Şişli
55000,83.0,100,2,1,0.83,41.5,17.0,0,1,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60000,70.0,96,1,1,0.7291666666666666,70.0,26.0,0,1,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20000,100.0,110,2,2,0.9090909090909091,50.0,10.0,0,1,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37000,80.0,90,1,1,0.8888888888888888,80.0,10.0,0,1,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
82000,100.0,130,3,1,0.7692307692307693,33.333333333333336,30.0,0,1,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46000,72.0,86,2,2,0.8372093023255814,36.0,14.0,0,1,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60000,80.0,120,2,2,0.6666666666666666,40.0,40.0,0,1,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
75000,105.0,140,3,2,0.75,35.0,35.0,0,1,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
90000,120.0,180,3,2,0.6666666666666666,40.0,60.0,0,1,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
65000,75.0,120,2,1,0.625,37.5,45.0,0,1,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
